metric,platform,n,min,Q1,Q2/med,Q3,max,IQR,mean,mode,mode n,stdev
process_time,firecracker,10000,1.132,1.214,1.247,1.286,1.529,0.072,1.255,1.19,3,0.055
,aws_lambda,7234,1.065,1.26,1.292,1.331,1.869,0.071,1.3,1.266,3,0.063
,,,,,,,,,,,,
graph_generating_time,firecracker,10000,6.948,7.877,8.102,8.151,8.489,0.274,8.026,8.121,3,0.15
,aws_lambda,7234,6.367,7.89,8.009,8.126,8.757,0.236,8,7.761,2,0.204
,,,,,,,,,,,,
runtime,firecracker,10000,8218,9121,9346,9426,9915,305,9286.6,9433,54,176.975
,aws_lambda,7234,7456,9172,9320,9460,10128,288,9308.8,9354,21,243.239
,,,,,,,,,,,,
userRuntime,firecracker,10000,8213,9115,9340,9420,9908,305,9281,9421,47,176.912
,aws_lambda,7234,7447,9164,9311,9451,10119,287,9299.9,9353,23,242.946
cpuSoftIrqDelta,firecracker,10000,0,0,0,0,0,0,0,0,10000,0
,aws_lambda,7234,0,0,0,10,30,10,5.495,0,3974,6.798
,,,,,,,,,,,,
cpuStealDelta,firecracker,10000,0,0,0,0,10,0,0.318,0,9682,1.755
,aws_lambda,7234,0,10,10,30,430,20,21.659,10,2325,29.657
,,,,,,,,,,,,
cpuSteal,firecracker,10000,0,60,120,170,820,110,145.913,100,506,130.093
,aws_lambda,7234,20,1770,3610,10845,42850,9075,7418.4,510,24,8371.3
,,,,,,,,,,,,
cpuSoftIrq,firecracker,10000,0,50,100,140,250,90,100.412,50,661,56.811
,aws_lambda,7234,10,780,1360,2060,5090,1280,1617,590,45,1121.3
,,,,,,,,,,,,
cpuIdleDelta,firecracker,10000,8220,9120,9340,9420,9910,300,9281,9410,355,176.939
,aws_lambda,7234,14890,18320,18610,18890,20220,570,18587,18640,79,484.376
,,,,,,,,,,,,
cpuIOWait,firecracker,10000,10,10,20,30,40,20,21.934,30,3934,9.252
,aws_lambda,7234,20,30,40,40,90,10,39.639,40,2931,14.978
,,,,,,,,,,,,
freeMemory,firecracker,10000,3268836,3305996,3312402,3316749,3397880,10753,3310221.3,3313356,9,10867.8
,aws_lambda,7234,5618740,5621177,5622276,5623192,5650812,2015,5622390.4,5621284,26,1890.3
,,,,,,,,,,,,
cpuIdle,firecracker,10000,1455230,2677132.5,3910715,5144487.5,6475850,2467355,3911591.1,1474910,3,1426185.2
,aws_lambda,7234,274020,2951215,4758740,7026625,1.85E+07,4075410,5870385.6,2278890,2,4048110.9
,,,,,,,,,,,,
cpuKernel,firecracker,10000,220,40930,81495,122037.5,164510,81107.5,81512.1,240,8,46845.8
,aws_lambda,7234,830,41685,71665,104847.5,306910,63162.5,89504.4,55890,5,66376.4
,,,,,,,,,,,,
cpuKernelDelta,firecracker,10000,200,280,300,320,800,40,300.793,300,1487,34.786
,aws_lambda,7234,220,300,320,340,890,40,320.196,320,951,34.301
,,,,,,,,,,,,
cpuUser,firecracker,10000,70,1119742.5,2243270,3366547.5,4598020,2246805,2244127.8,100,7,1298661.7
,aws_lambda,7234,610,1043030,1819620,2681037.5,7746260,1638007.5,2278534.8,435350,2,1709319.1
,,,,,,,,,,,,
pageFaultsDelta,firecracker,10000,163420,172506,175399,176163,189455,3657,174114.8,171994,227,3107.6
,aws_lambda,7234,171794,171907,172713,172718,189306,811,172420.5,172715,618,619.016
,,,,,,,,,,,,
pageFaults,firecracker,10000,7642,2.17E+07,4.35E+07,6.54E+07,8.82E+07,4.37E+07,4.36E+07,7696,3,2.52E+07
,aws_lambda,7234,75291,2.02E+07,3.52E+07,5.15E+07,1.49E+08,3.13E+07,4.38E+07,1.31E+07,2,3.26E+07
,,,,,,,,,,,,
cpuUserDelta,firecracker,10000,7850,8820,9030,9120,9440,300,8980.1,9120,334,177.326
,aws_lambda,7234,7150,8840,8990,9120,9660,280,8974.7,9020,153,234.538
,,,,,,,,,,,,
cpuGuest,firecracker,10000,0,0,0,0,0,0,0,0,10000,0
,aws_lambda,7234,0,0,0,0,0,0,0,0,7234,0
,,,,,,,,,,,,
cpuGuestDelta,firecracker,10000,0,0,0,0,0,0,0,0,10000,0
,aws_lambda,7234,0,0,0,0,0,0,0,0,7234,0
,,,,,,,,,,,,
cpuGuestNice,firecracker,10000,0,0,0,0,0,0,0,0,10000,0
,aws_lambda,7234,0,0,0,0,0,0,0,0,7234,0
,,,,,,,,,,,,
cpuGuestNiceDelta,firecracker,10000,0,0,0,0,0,0,0,0,10000,0
,aws_lambda,7234,0,0,0,0,0,0,0,0,7234,0
,,,,,,,,,,,,
cpuIOWaitDelta,firecracker,10000,0,0,0,0,0,0,0,0,10000,0
